iter	Passed	Remaining
446	1197	1480
447	1201	1480
448	1203	1477
449	1206	1475
450	1208	1471
451	1210	1467
452	1217	1470
453	1219	1467
454	1221	1463
455	1222	1458
456	1226	1456
457	1229	1455
458	1231	1451
459	1233	1448
460	1235	1444
461	1236	1440
462	1238	1436
463	1241	1434
464	1246	1433
465	1251	1433
466	1253	1430
467	1257	1429
468	1260	1426
469	1262	1423
470	1263	1419
471	1265	1415
472	1266	1411
473	1268	1407
474	1272	1406
475	1274	1403
476	1276	1399
477	1283	1401
478	1285	1397
479	1287	1394
480	1289	1391
481	1291	1388
482	1294	1385
483	1296	1382
484	1298	1378
485	1303	1378
486	1305	1375
487	1307	1371
488	1309	1368
489	1311	1364
490	1312	1360
491	1317	1360
492	1320	1357
493	1322	1354
494	1324	1351
495	1326	1348
496	1328	1344
497	1333	1343
498	1335	1340
499	1336	1336
500	1339	1334
501	1340	1330
502	1342	1326
503	1351	1330
504	1357	1330
505	1359	1327
506	1367	1330
507	1370	1327
508	1371	1323
509	1373	1319
510	1379	1320
511	1382	1317
512	1383	1313
513	1385	1309
514	1386	1306
515	1388	1302
516	1389	1298
517	1393	1296
518	1394	1292
519	1397	1289
520	1398	1286
521	1400	1282
522	1401	1278
523	1402	1274
524	1404	1270
525	1406	1267
526	1408	1263
527	1409	1260
528	1410	1256
529	1412	1252
530	1413	1248
531	1415	1244
532	1421	1245
533	1423	1242
534	1425	1238
535	1426	1235
536	1428	1231
537	1429	1227
538	1431	1224
539	1435	1222
540	1437	1219
541	1438	1215
542	1440	1212
543	1442	1208
544	1443	1205
545	1444	1201
546	1446	1197
547	1449	1195
548	1452	1192
549	1453	1189
550	1455	1185
551	1456	1181
552	1457	1178
553	1460	1176
554	1468	1177
555	1470	1174
556	1472	1170
557	1473	1167
558	1474	1163
559	1477	1160
560	1480	1158
561	1482	1155
562	1483	1151
563	1485	1148
564	1486	1144
565	1488	1141
566	1489	1137
567	1495	1137
568	1496	1133
569	1498	1130
570	1499	1126
571	1501	1123
572	1502	1119
573	1504	1116
574	1508	1114
575	1510	1111
576	1511	1108
577	1512	1104
578	1514	1100
579	1515	1097
580	1516	1093
581	1518	1090
582	1519	1086
583	1523	1085
584	1525	1082
585	1526	1078
586	1528	1075
587	1529	1071
588	1530	1068
589	1531	1064
590	1533	1060
591	1534	1057
592	1539	1056
593	1541	1053
594	1542	1050
595	1544	1046
596	1545	1043
597	1547	1039
598	1548	1036
599	1549	1033
600	1552	1030
601	1554	1027
602	1556	1024
603	1557	1021
604	1558	1017
605	1560	1014
606	1561	1011
607	1562	1007
608	1564	1004
609	1568	1003
610	1570	1000
611	1573	997
612	1575	994
613	1576	991
614	1577	987
615	1579	984
616	1582	982
617	1584	979
618	1585	976
619	1587	972
620	1588	969
621	1589	966
622	1590	962
623	1591	959
624	1593	955
625	1597	954
626	1599	951
627	1601	948
628	1602	945
629	1603	941
630	1604	938
631	1606	935
632	1607	932
633	1609	929
634	1611	926
635	1613	923
636	1614	920
637	1616	917
638	1618	914
639	1619	911
640	1620	907
641	1625	906
642	1627	903
643	1629	900
644	1630	897
645	1632	894
646	1633	891
647	1635	888
648	1640	887
649	1643	884
650	1644	881
651	1646	878
652	1647	875
653	1649	872
654	1650	869
655	1656	868
656	1658	865
657	1659	862
658	1661	859
659	1662	856
660	1664	853
661	1665	850
662	1670	849
663	1674	847
664	1676	844
665	1677	841
666	1678	838
667	1681	835
668	1685	833
669	1687	831
670	1689	828
671	1690	825
672	1692	822
673	1696	820
674	1698	817
675	1699	814
676	1701	811
677	1702	808
678	1704	805
679	1705	802
680	1706	799
681	1711	797
682	1713	795
683	1714	792
684	1716	789
685	1717	786
686	1718	783
687	1720	780
688	1721	777
689	1726	775
690	1728	772
691	1730	770
692	1731	767
693	1733	764
694	1734	761
695	1735	758
696	1737	755
697	1739	752
698	1741	749
699	1742	746
700	1744	744
701	1745	741
702	1747	738
703	1749	735
704	1751	732
705	1753	730
706	1755	727
707	1756	724
708	1758	721
709	1759	718
710	1761	715
711	1762	712
712	1763	709
713	1766	707
714	1768	705
715	1770	702
716	1771	699
717	1772	696
718	1774	693
719	1775	690
720	1776	687
721	1778	684
722	1782	683
723	1784	680
724	1785	677
725	1787	674
726	1788	671
727	1789	668
728	1790	665
729	1791	662
730	1793	659
731	1796	657
732	1798	654
733	1800	652
734	1802	649
735	1803	647
736	1805	644
737	1806	641
738	1808	638
739	1812	636
740	1814	634
741	1815	631
742	1816	628
743	1818	625
744	1820	622
745	1821	620
746	1822	617
747	1826	615
748	1828	612
749	1829	609
750	1831	607
751	1832	604
752	1834	601
753	1835	598
754	1836	595
755	1837	593
756	1841	590
757	1843	588
758	1844	585
759	1845	582
760	1847	580
761	1848	577
762	1849	574
763	1850	571
764	1851	568
765	1852	565
766	1856	563
767	1857	561
768	1859	558
769	1860	555
770	1861	552
771	1862	550
772	1863	547
773	1864	544
774	1865	541
775	1866	538
776	1867	536
777	1870	533
778	1872	531
779	1873	528
780	1874	525
781	1876	523
782	1877	520
783	1878	517
784	1879	514
785	1880	512
786	1881	509
787	1883	506
788	1885	504
789	1888	501
790	1889	499
791	1890	496
792	1891	493
793	1892	491
794	1894	488
795	1895	485
796	1896	483
797	1900	481
798	1901	478
799	1902	475
800	1904	473
801	1905	470
802	1907	467
803	1908	465
804	1909	462
805	1910	459
806	1911	457
807	1913	454
808	1914	452
809	1915	449
810	1917	446
811	1918	444
812	1919	441
813	1920	438
814	1921	436
815	1922	433
816	1923	430
817	1924	428
818	1927	425
819	1928	423
820	1930	420
821	1931	418
822	1932	415
823	1933	412
824	1934	410
825	1935	407
826	1936	405
827	1937	402
828	1938	399
829	1939	397
830	1942	395
831	1944	392
832	1945	390
833	1946	387
834	1947	384
835	1948	382
836	1949	379
837	1950	377
838	1951	374
839	1952	371
840	1953	369
841	1954	366
842	1957	364
843	1959	362
844	1960	359
845	1961	357
846	1962	354
847	1963	351
848	1964	349
849	1965	346
850	1966	344
851	1967	341
852	1968	339
853	1970	336
854	1971	334
855	1973	331
856	1974	329
857	1975	326
858	1976	324
859	1977	321
860	1978	319
861	1979	316
862	1980	314
863	1981	311
864	1982	309
865	1983	306
866	1985	304
867	1986	302
868	1988	299
869	1989	297
870	1990	294
871	1991	292
872	1992	289
873	1993	287
874	1994	284
875	1995	282
876	1996	279
877	1997	277
878	1998	275
879	2000	272
880	2002	270
881	2003	267
882	2004	265
883	2005	263
884	2006	260
885	2007	258
886	2008	255
887	2009	253
888	2010	251
889	2012	248
890	2013	246
891	2015	243
892	2016	241
893	2017	239
894	2018	236
895	2019	234
896	2020	232
897	2021	229
898	2022	227
899	2023	224
900	2024	222
901	2025	220
902	2026	217
903	2028	215
904	2031	213
905	2032	210
906	2033	208
907	2034	206
908	2035	203
909	2036	201
910	2037	199
911	2038	196
912	2039	194
913	2040	192
914	2041	189
915	2043	187
916	2045	185
917	2046	182
918	2047	180
919	2048	178
920	2049	175
921	2050	173
922	2051	171
923	2052	168
924	2053	166
925	2054	164
926	2055	161
927	2056	159
928	2059	157
929	2060	155
930	2061	152
931	2062	150
932	2063	148
933	2064	145
934	2065	143
935	2066	141
936	2067	139
937	2068	136
938	2069	134
939	2070	132
940	2072	129
941	2074	127
942	2075	125
943	2076	123
944	2077	120
945	2078	118
946	2079	116
947	2080	114
948	2081	111
949	2083	109
950	2084	107
951	2085	105
952	2086	102
953	2088	100
954	2089	98
955	2090	96
956	2091	93
957	2092	91
958	2093	89
959	2094	87
960	2095	85
961	2096	82
962	2097	80
963	2098	78
964	2099	76
965	2101	73
966	2102	71
967	2103	69
968	2105	67
969	2106	65
970	2107	62
971	2108	60
972	2109	58
973	2110	56
974	2111	54
975	2112	51
976	2114	49
977	2116	47
978	2119	45
979	2120	43
980	2122	41
981	2123	38
982	2124	36
983	2125	34
984	2126	32
985	2127	30
986	2128	28
987	2129	25
988	2131	23
989	2133	21
990	2134	19
991	2135	17
992	2136	15
993	2137	12
994	2138	10
995	2139	8
996	2140	6
997	2141	4
998	2142	2
999	2143	0
